[17-Feb-2015 09:41:16] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessLogin.php on line 95
[17-Feb-2015 10:07:33] PHP Notice:  Undefined property: stdClass::$ServiceID in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 462
[17-Feb-2015 10:07:33] PHP Notice:  Undefined variable: response in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 508
[17-Feb-2015 10:07:33] PHP Notice:  Undefined variable: terminalid in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 508
[17-Feb-2015 10:07:33] PHP Notice:  Undefined variable: response in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 517
[17-Feb-2015 10:07:37] PHP Notice:  Undefined property: stdClass::$ServiceID in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 462
[17-Feb-2015 10:07:37] PHP Notice:  Undefined variable: response in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 508
[17-Feb-2015 10:07:37] PHP Notice:  Undefined variable: terminalid in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 508
[17-Feb-2015 10:07:37] PHP Notice:  Undefined variable: response in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 517
[17-Feb-2015 10:34:41] PHP Notice:  Undefined index: UserMode in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 467
[17-Feb-2015 10:34:41] PHP Notice:  Undefined variable: response in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 514
[17-Feb-2015 10:34:41] PHP Notice:  Undefined variable: terminalid in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 514
[17-Feb-2015 10:34:41] PHP Notice:  Undefined variable: response in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 523
[17-Feb-2015 10:35:30] PHP Notice:  Undefined variable: terminalid in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 514
[17-Feb-2015 10:35:31] PHP Notice:  Undefined variable: terminalid in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 514
[17-Feb-2015 10:38:12] PHP Notice:  Undefined variable: response in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 516
[17-Feb-2015 10:38:12] PHP Notice:  Undefined variable: response in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 525
[17-Feb-2015 10:40:28] PHP Notice:  Undefined variable: terminalid in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 515
[17-Feb-2015 13:53:54] PHP Warning:  Missing argument 1 for PcwsWrapper::__construct(), called in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 539 and defined in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\sys\class\PcwsWrapper.class.php on line 52
