[09-Jun-2015 10:47:59] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessLogin.php on line 95
[09-Jun-2015 10:48:24] PHP Notice:  Undefined index: TransType in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 1262
[09-Jun-2015 10:48:24] PHP Notice:  Undefined variable: vtranstype in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 1286
[09-Jun-2015 10:48:24] PHP Notice:  Undefined index: TransType in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 1262
[09-Jun-2015 10:48:24] PHP Notice:  Undefined variable: vtranstype in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 1286
[09-Jun-2015 10:48:24] PHP Notice:  Undefined index: TransType in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 1262
[09-Jun-2015 10:48:24] PHP Notice:  Undefined variable: vtranstype in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 1286
[09-Jun-2015 10:48:24] PHP Notice:  Undefined index: TransType in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 1262
[09-Jun-2015 10:48:24] PHP Notice:  Undefined variable: vtranstype in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 1286
[09-Jun-2015 10:48:24] PHP Notice:  Undefined index: TransType in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 1262
[09-Jun-2015 10:48:24] PHP Notice:  Undefined variable: vtranstype in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 1286
[09-Jun-2015 10:48:24] PHP Notice:  Undefined index: TransType in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 1262
[09-Jun-2015 10:48:24] PHP Notice:  Undefined variable: vtranstype in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 1286
[09-Jun-2015 10:48:24] PHP Notice:  Undefined index: TransType in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 1262
[09-Jun-2015 10:48:24] PHP Notice:  Undefined variable: vtranstype in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 1286
[09-Jun-2015 10:48:24] PHP Notice:  Undefined index: TransType in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 1262
[09-Jun-2015 10:48:24] PHP Notice:  Undefined variable: vtranstype in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 1286
[09-Jun-2015 10:48:24] PHP Notice:  Undefined index: TransType in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 1262
[09-Jun-2015 10:48:24] PHP Notice:  Undefined variable: vtranstype in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 1286
[09-Jun-2015 10:48:24] PHP Notice:  Undefined index: TransType in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 1262
[09-Jun-2015 10:48:24] PHP Notice:  Undefined variable: vtranstype in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessAppSupport.php on line 1286
[09-Jun-2015 13:08:25] PHP Notice:  Undefined index: Site in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessRptAS.php on line 228
[09-Jun-2015 13:08:25] PHP Notice:  Undefined variable: dateto in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessRptAS.php on line 233
[09-Jun-2015 13:09:56] PHP Notice:  Undefined index: Site in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessRptAS.php on line 228
[09-Jun-2015 13:09:56] PHP Notice:  Undefined variable: dateto in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessRptAS.php on line 233
[09-Jun-2015 13:10:45] PHP Notice:  Undefined index: Site in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessRptAS.php on line 228
[09-Jun-2015 13:10:45] PHP Notice:  Undefined variable: dateto in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessRptAS.php on line 233
[09-Jun-2015 13:13:04] PHP Notice:  Undefined index: Site in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessRptAS.php on line 228
[09-Jun-2015 13:14:13] PHP Notice:  Undefined index: Site in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessRptAS.php on line 228
[09-Jun-2015 13:14:15] PHP Notice:  Undefined index: Site in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessRptAS.php on line 228
[09-Jun-2015 13:14:18] PHP Notice:  Undefined index: Site in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessRptAS.php on line 228
[09-Jun-2015 13:15:00] PHP Notice:  Undefined variable: dateto in C:\xampp\htdocs\Kronus_UB\admin.ewallet\public\views\process\ProcessRptAS.php on line 233
