[23-Jul-2014 10:16:10]  [LOGIN ERROR] Invalid input.
[23-Jul-2014 10:28:11]  [LOGIN ERROR] One or more fields is not set or is blank.
[23-Jul-2014 10:34:38]  [LOGIN SUCCESS] Login successful.
[23-Jul-2014 10:49:10]  [LOGIN SUCCESS] Login successful.
[23-Jul-2014 11:00:32]  [LOGIN SUCCESS] Login successful.
[23-Jul-2014 11:02:09]  [LOGIN SUCCESS] Login successful.
[23-Jul-2014 11:02:54]  [LOGIN SUCCESS] Login successful.
[23-Jul-2014 11:16:13]  [FORGOTPASSWORD ERROR] One or more fields is not set or is blank.
[23-Jul-2014 11:16:46]  [LOGIN SUCCESS] Login successful.
[23-Jul-2014 11:24:44]  [LOGIN ERROR] One or more fields is not set or is blank.
[23-Jul-2014 11:24:45]  [FORGOTPASSWORD ERROR] One or more fields is not set or is blank.
[23-Jul-2014 11:25:56]  [LOGIN SUCCESS] Login successful.
[23-Jul-2014 11:48:35]  [FORGOTPASSWORD ERROR] One or more fields is not set or is blank.
