[11-Aug-2014 10:14:42]  [LOGIN SUCCESS] Login successful.
[11-Aug-2014 10:15:01]  [REDEEMITEMS SUCCESS] CP: 26,313, Item: Sample Brownies, RP: 15
[11-Aug-2014 10:15:01]  [REDEEMITEMS SUCCESS] Redemption successful.
[11-Aug-2014 10:18:03]  [REDEEMITEMS SUCCESS] CP: 26,298, Item: Sample Brownies, RP: 15
[11-Aug-2014 10:18:03]  [REDEEMITEMS SUCCESS] Redemption successful.
[11-Aug-2014 10:46:22]  [LISTITEMS ERROR] Please input 2 for regular or 3 for vip.
[11-Aug-2014 10:47:22]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 10:49:32]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 11:16:59]  [REDEEMITEMS ERROR] Card number does not exist.
[11-Aug-2014 11:17:11]  [REDEEMITEMS SUCCESSFUL] CP: 26,268, Item: Sample Brownies, RP: 15
[11-Aug-2014 11:17:11]  [REDEEMITEMS SUCCESSFUL] Redemption successful.
[11-Aug-2014 11:18:03]  [REDEEMITEMS SUCCESSFUL] CP: 26,253, Item: Sample Brownies, RP: 15
[11-Aug-2014 11:18:03]  [REDEEMITEMS SUCCESSFUL] Redemption successful.
[11-Aug-2014 11:23:01]  [REDEEMITEMS SUCCESSFUL] CP: 26,238, Item: Sample Brownies, RP: 15
[11-Aug-2014 11:23:01]  [REDEEMITEMS SUCCESSFUL] Redemption successful.
[11-Aug-2014 11:27:54]  [REDEEMITEMS SUCCESSFUL] CP: 26,223, Item: Sample Brownies, RP: 15
[11-Aug-2014 11:27:54]  [REDEEMITEMS SUCCESSFUL] Redemption successful.
[11-Aug-2014 11:28:47]  [REDEEMITEMS SUCCESSFUL] CP: 26,208, Item: Sample Brownies, RP: 15
[11-Aug-2014 11:28:47]  [REDEEMITEMS SUCCESSFUL] Redemption successful.
[11-Aug-2014 11:30:26]  [REDEEMITEMS SUCCESSFUL] CP: 26,193, Item: Sample Brownies, RP: 15
[11-Aug-2014 11:30:26]  [REDEEMITEMS SUCCESSFUL] Redemption successful.
[11-Aug-2014 11:33:21]  [REDEEMITEMS SUCCESSFUL] CP: 26,178, Item: Sample Brownies, RP: 15
[11-Aug-2014 11:33:21]  [REDEEMITEMS SUCCESSFUL] Redemption successful.
[11-Aug-2014 11:44:39]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 11:45:06]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 11:46:46]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 11:52:56] [REGISTERMEMBER ERROR] Failed to send SMS.
[11-Aug-2014 12:00:48]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 12:02:45]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 13:14:24]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 13:14:41]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 13:15:21]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 13:23:48]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 13:25:21]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 13:28:26]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 13:28:48]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 13:31:54]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 13:39:24]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 13:39:45]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 13:40:17]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 13:42:24]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 13:43:54]  [REDEEMITEMS SUCCESSFUL] CP: 26,163, Item: Sample Brownies, RP: 15
[11-Aug-2014 13:43:54]  [REDEEMITEMS SUCCESSFUL] Redemption successful.
[11-Aug-2014 13:50:24]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 13:53:25]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 13:54:32]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 13:57:13]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 13:57:36]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 14:03:02]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 14:08:00]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 14:08:24]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 14:11:15]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 14:17:33]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 14:19:02]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 14:20:31]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 14:21:00]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 14:21:46]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 14:22:30]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 14:22:52]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 14:23:33]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 14:24:00]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 14:24:38]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 14:24:53]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 14:25:50]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 14:26:07]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 14:26:33]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 14:27:42]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 14:28:05]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 14:28:32]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 14:29:25]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 14:36:04]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 14:36:28]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 14:37:32]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 14:38:38]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 14:38:56]  [LISTITEMS SUCCESSFUL] List Items is successful.
[11-Aug-2014 15:31:54]  [LOGIN SUCCESSFUL] Login successful.
[11-Aug-2014 15:32:07]  [REDEEMITEMS ERROR] Transaction failed. Number of available item is insufficient.
[11-Aug-2014 15:32:42] [ITEM REDEMPTION ERROR] Transaction Failed. The Item you try to redeem is currently Out-Of-Stock.
[11-Aug-2014 15:32:42]  [REDEEMITEMS ERROR] Transaction Failed. The Item you try to redeem is currently Out-Of-Stock.
[11-Aug-2014 15:32:42]  [REDEEMITEMS ERROR] Transaction Failed. The Item you try to redeem is currently Out-Of-Stock.
[11-Aug-2014 15:34:46]  [REDEEMITEMS ERROR] Transaction failed. Serial code is unavailable.
[11-Aug-2014 15:35:30]  [REDEEMITEMS ERROR] Transaction failed. Card has a pending redemption.
[11-Aug-2014 15:35:44] [ITEM REDEMPTION ERROR] Transaction Failed. The Item you try to redeem is currently Out-Of-Stock.
[11-Aug-2014 15:35:44]  [REDEEMITEMS ERROR] Transaction Failed. The Item you try to redeem is currently Out-Of-Stock.
[11-Aug-2014 15:35:44]  [REDEEMITEMS ERROR] Transaction Failed. The Item you try to redeem is currently Out-Of-Stock.
[11-Aug-2014 15:37:26]  [REDEEMITEMS ERROR] Transaction failed. Card has a pending redemption.
[11-Aug-2014 15:37:58]  [REDEEMITEMS SUCCESSFUL] CP: 26,118, Item: Sample Brownies, RP: 15
[11-Aug-2014 15:37:59]  [REDEEMITEMS SUCCESSFUL] Redemption successful.
[11-Aug-2014 16:39:56]  [REDEEMITEMS ERROR] One or more fields is not set or is blank.
